motherboardId,partId,socket,formFactor,chipset,memoryMax,memoryType,memorySlot,color,pcieSixteenSlot,pcieEightSlot,pcieFourSlot,pcieOneSlot,pcieSlot,sataSlot,mTwoSlot,onboardEthernet,onboardVideo,usbTwoHeader,usbTwoHeaderSinglePort,usbThreeTwoGenOneHeader,usbThreeTwoGenTwoHeader,usbThreeTwoGenTwoByTwoHeader,wirelessNetworking,raidSupport,backConnectors,createdAt,updatedAt
103,224,LGA1700,ATX,Intel B660,128,DDR4,4,Yellow / Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
104,225,LGA1700,MATX,Intel B660,128,DDR4,4,Black / Orange,2,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
105,226,LGA1700,MATX,Intel B760,128,DDR4,4,Silver / Black,3,0,0,0,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
106,227,LGA1700,ATX,Intel Z690,192,DDR5,4,Silver / Black,4,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
107,228,LGA1700,ATX,Intel Z690,128,DDR4,4,Silver / Black,4,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
108,229,LGA1700,MATX,Intel H610,64,DDR4,2,Silver / Black,1,0,0,1,0,4,2,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
109,230,LGA1700,ATX,Intel B760,128,DDR4,4,Black / Copper,2,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,1,None,0,0,11/25/2024 21:07,11/25/2024 21:07
110,231,LGA1700,MATX,Intel H610,64,DDR4,2,Silver / Black,1,0,0,1,0,4,2,1 x 1 Gb/s (Intel),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
111,232,LGA1700,MATX,Intel Z790,128,DDR4,4,Black / Silver,2,0,0,2,0,4,3,1 x 1 Gb/s (Intel),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
112,233,LGA1700,ATX,Intel Z690,128,DDR5,4,Purple / Green,3,0,0,0,0,6,3,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
113,234,LGA1700,ATX,Intel B760,128,DDR4,4,Silver / Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Intel),Depends on CPU,1,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
114,235,LGA1700,MATX,Intel B660,192,DDR5,4,Yellow / Black,2,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
115,236,LGA1700,ATX,Intel B660,128,DDR4,4,Black,2,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,1,None,0,0,11/25/2024 21:07,11/25/2024 21:07
116,237,LGA1700,ATX,Intel Z690,192,DDR5,4,Black / Copper,3,0,0,0,0,8,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
117,238,LGA1700,MATX,Intel B760,128,DDR4,4,Black / Orange,2,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
118,239,LGA1700,ATX,Intel Z790,128,DDR4,4,Black,2,0,1,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
119,240,LGA1700,ATX,Intel H770,128,DDR4,4,Silver / Black,3,0,0,2,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,1,0,2,2,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
120,241,LGA1700,ATX,Intel H670,128,DDR4,4,Gray / Black,2,0,0,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
121,242,LGA1700,MATX,Intel B760,192,DDR5,4,Green / Black,1,0,0,2,0,4,2,1 x 1 Gb/s (Intel),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
122,243,AM5,ATX,AMD B650,192,DDR5,4,Black / Silver,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
123,244,AM5,ATX,AMD B650E,192,DDR5,4,Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
124,245,AM5,ITX,AMD B650E,96,DDR5,2,Black,1,0,0,0,0,2,2,1 x 2.5 Gb/s (Intel),Depends on CPU,1,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
125,246,AM5,ATX,AMD B650,128,DDR5,4,Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
126,247,AM5,ATX,AMD X870E,192,DDR5,4,Black,2,0,0,0,0,4,5,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,2,2,2,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
127,248,AM5,ATX,AMD B650,192,DDR5,4,Black / Orange,2,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
128,249,AM5,MATX,AMD B650,192,DDR5,4,Black,2,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
129,250,AM5,ATX,AMD X870,192,DDR5,4,White,2,0,0,0,0,2,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
130,251,AM5,ATX,AMD X870E,192,DDR5,4,Black,2,0,0,0,0,4,5,1 x 5 Gb/s (Realtek),Depends on CPU,3,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
131,252,AM5,ATX,AMD X870E,192,DDR5,4,Black / Gold,3,0,0,0,0,4,4,1 x 10 Gb/s (Marvell AQtion),Depends on CPU,3,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
132,253,AM5,ATX,AMD X670E,192,DDR5,4,Black / Silver,3,0,0,0,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,3,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
133,254,AM5,ATX,AMD X670E,192,DDR5,4,Black / Orange,2,0,1,0,0,4,4,1 x 2.5 Gb/s (Realtek),Depends on CPU,3,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
134,255,AM5,ATX,AMD B650,192,DDR5,4,Black / Silver,2,0,0,2,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
135,256,AM5,MATX,AMD B650,192,DDR5,4,Black / Silver,4,0,0,0,0,8,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
136,257,AM5,ATX,AMD X870,192,DDR5,4,Black,2,0,0,0,0,2,4,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
137,258,AM5,ATX,AMD B650E,192,DDR5,4,Black,3,0,0,0,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
138,259,AM5,ATX,AMD X670E,192,DDR5,4,Black / Silver,2,0,0,1,0,6,4,1 x 2.5 Gb/s (Intel),Depends on CPU,3,0,2,2,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
139,260,AM5,ATX,AMD X670E,192,DDR5,4,Silver / Black,2,0,1,0,0,4,4,1 x 2.5 Gb/s (Realtek),Depends on CPU,3,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
140,261,AM5,ITX,AMD X670E,96,DDR5,2,Black / Silver,1,0,0,0,0,2,2,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
141,262,AM5,ATX,AMD X870,192,DDR5,4,Black,2,0,0,0,0,2,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
142,263,AM5,ATX,AMD X870,192,DDR5,4,Black / Silver,4,0,0,0,0,2,4,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
143,264,AM5,MATX,AMD B650,192,DDR5,4,Black / Silver,3,0,0,0,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
144,265,AM5,ATX,AMD X670E,192,DDR5,4,Black / Silver,2,0,0,1,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
145,266,AM5,ATX,AMD B650,192,DDR5,4,Black / Silver,2,0,0,2,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
146,267,AM5,ATX,AMD X670E,192,DDR5,4,Black / Copper,3,0,0,0,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,3,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
147,268,AM5,ATX,AMD X670E,192,DDR5,4,Silver / Black,2,0,0,1,0,4,4,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
148,269,AM5,MATX,AMD A620,192,DDR5,4,Black / Orange,1,0,0,2,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
149,270,AM5,ATX,AMD X670,192,DDR5,4,Silver / Black,3,0,0,1,0,6,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
150,271,AM5,MATX,AMD A620,192,DDR5,4,Silver / Black,1,0,0,2,0,4,2,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
151,272,AM5,ATX,AMD X670,192,DDR5,4,Silver / Black,3,0,0,1,0,6,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
152,273,AM5,MATX,AMD B650,192,DDR5,4,Silver / Black,3,0,0,0,0,4,2,1 x 2.5 Gb/s (Realtek),No,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
153,274,AM5,MATX,AMD B650,192,DDR5,4,Green / Black,2,0,0,1,0,4,2,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
154,275,AM5,MATX,AMD B650,128,DDR5,4,Silver / Black,3,0,0,0,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
155,276,AM4,MATX,AMD B550,128,DDR4,4,Blue / Silver,1,0,0,2,0,4,2,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
156,277,AM4,ATX,AMD B550,128,DDR4,4,Black / Red,2,0,0,3,0,6,2,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
157,278,AM4,ATX,AMD B550,128,DDR4,4,Black / Gray,2,0,0,3,0,6,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
158,279,AM4,MATX,AMD B450,128,DDR4,4,Black,1,0,0,2,0,6,1,1 x 1 Gb/s (Realtek RTL8111H),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
159,280,AM4,ATX,AMD B550,128,DDR4,4,Black / White,2,0,0,3,0,6,2,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
160,281,AM4,ATX,AMD B550,128,DDR4,4,Black / White,2,0,0,3,0,6,2,1 x 1 Gb/s (Realtek RTL8111H),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
161,282,AM4,ATX,AMD X570,128,DDR4,4,Black / Gold,2,0,0,2,0,8,2,1 x 1 Gb/s (Realtek L8200A),Depends on CPU,2,0,1,1,0,Wi-Fi 5,0,0,11/25/2024 21:07,11/25/2024 21:07
162,283,AM4,MATX,AMD A520,128,DDR4,4,Black / Orange,1,0,0,2,0,4,1,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 5,0,0,11/25/2024 21:07,11/25/2024 21:07
163,284,AM4,ATX,AMD B550,128,DDR4,4,Black,2,0,0,3,0,6,2,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
164,285,AM4,MATX,AMD B550,128,DDR4,4,Black / Gray,2,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
165,286,AM4,ATX,AMD B450,128,DDR4,4,Black,3,0,0,3,0,6,2,1 x 1 Gb/s (Intel I211-AT),Depends on CPU,1,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
166,287,AM4,ATX,AMD B450,128,DDR4,4,Black,3,0,0,3,0,6,2,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
167,288,AM4,MATX,AMD B550,128,DDR4,4,Black / Silver,1,0,0,2,0,4,2,1 x 1 Gb/s (Realtek RTL8111H),Depends on CPU,2,0,1,1,0,Wi-Fi 5,0,0,11/25/2024 21:07,11/25/2024 21:07
168,289,AM4,MATX,AMD B450,64,DDR4,4,Black,1,0,0,2,0,6,1,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
169,290,AM4,MATX,AMD A520,128,DDR4,4,Silver / Black,1,0,0,2,0,4,1,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
170,291,AM4,ATX,AMD B550,128,DDR4,4,Black,2,0,0,3,0,6,2,1 x 2.5 Gb/s (Realtek RTL8125B),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
171,292,AM4,ATX,AMD X570,128,DDR4,4,Black / Silver,3,0,0,1,0,8,2,1 x 1 Gb/s (Intel I211-AT),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
172,293,AM4,MATX,AMD B450,64,DDR4,2,Black,1,0,0,2,0,4,1,1 x 1 Gb/s (Realtek 8111H),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
173,294,AM4,MATX,AMD A520,64,DDR4,2,Black / Silver,1,0,0,2,0,4,1,1 x 1 Gb/s (Realtek RTL8111H),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
174,295,AM4,ATX,AMD X570,128,DDR4,4,Black,3,0,0,2,0,8,2,1 x 1 Gb/s (Intel I211-AT),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
175,296,AM4,MATX,AMD B550,128,DDR4,4,Black / White,1,0,0,2,0,4,2,1 x 1 Gb/s (Realtek RTL8111H),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
176,297,AM4,ITX,AMD B550,64,DDR4,2,Black,1,0,0,0,0,4,2,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,1,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
177,298,AM4,ATX,AMD B450,64,DDR4,4,Black / Silver,2,0,0,3,0,6,1,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
178,299,AM4,ATX,AMD B550,128,DDR4,4,Black,2,0,0,3,0,6,2,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
179,300,AM4,ATX,AMD X570,128,DDR4,4,Black / White,2,0,0,3,0,6,2,1 x 1 Gb/s,Depends on CPU,2,0,2,2,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
180,301,AM4,MATX,AMD B450,128,DDR4,4,Black,2,0,0,1,0,6,1,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
181,302,AM4,ATX,AMD X570,128,DDR4,4,Black / White,3,0,0,3,0,6,2,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
182,303,AM4,MATX,AMD B550,128,DDR4,4,Black,2,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek RTL8125B),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
183,304,AM4,ITX,AMD X570,64,DDR4,2,Black,1,0,0,0,0,4,2,1 x 1 Gb/s,Depends on CPU,1,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
184,305,AM4,ATX,AMD X570,128,DDR4,4,Black / Gold,2,0,0,3,0,8,2,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
185,306,AM4,ATX,AMD B450,128,DDR4,4,Black,2,0,0,3,0,6,2,1 x 1 Gb/s (Realtek L8200A),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
186,307,AM4,ATX,AMD B550,128,DDR4,4,Black,3,0,0,2,0,6,2,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
187,308,AM4,ATX,AMD X570,128,DDR4,4,Black,3,0,0,1,0,8,2,1 x 1 Gb/s,No,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
188,309,AM4,ATX,AMD X570,128,DDR4,4,Black,3,0,0,2,0,8,2,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
189,310,AM4,MATX,AMD B550,128,DDR4,4,Black / White,1,0,0,2,0,4,2,1 x 1 Gb/s (Realtek RTL8111H),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
190,311,AM4,MATX,AMD B450,64,DDR4,4,Black / Gold,2,0,0,1,0,6,1,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
191,312,AM4,ATX,AMD B450,64,DDR4,4,Black / Gold,2,0,0,3,0,6,1,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
192,313,AM4,ATX,AMD B550,128,DDR4,4,Black,2,0,0,3,0,6,2,1 x 2.5 Gb/s (Realtek RTL8125B),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
193,314,AM4,MATX,AMD B550,128,DDR4,4,Black / White,1,0,0,2,0,4,2,1 x 1 Gb/s (Realtek RTL8111H),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
194,315,AM4,ATX,AMD B550,128,DDR4,4,Black,2,0,0,3,0,6,2,1 x 2.5 Gb/s (Realtek RTL8125B),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
195,316,AM4,ATX,AMD B550,128,DDR4,4,Black,3,0,0,2,0,6,2,1 x 2.5 Gb/s (Intel I225-V),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
196,317,AM4,MATX,AMD B550,128,DDR4,4,Green,1,0,1,0,1,4,2,1 x 1 Gb/s (Realtek 8111H),Depends on CPU,1,0,2,2,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
197,318,AM4,MATX,AMD B550,128,DDR4,4,Black,2,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek RTL8125B),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
198,319,AM4,MATX,AMD A320,64,DDR4,4,Black / Gray,1,0,0,2,0,4,1,1 x 1 Gb/s,Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
199,320,AM4,ATX,AMD X570,128,DDR4,4,Black / Gold,2,0,0,2,0,8,2,1 x 2.5 Gb/s,Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
200,321,AM4,ATX,AMD X370,64,DDR4,4,Black,3,0,0,3,0,8,1,1 x 1 Gb/s,Depends on CPU,1,0,2,2,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
201,322,AM4,MATX,AMD A520,64,DDR4,2,Green / Black,1,0,0,2,1,4,1,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
202,323,LGA1700,MATX,Intel B660,128,DDR4,4,Gray / Black,2,0,0,1,0,4,2,1 x 1 Gb/s (Intel I219-V),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 22:58,11/25/2024 22:58
203,324,LGA1700,ATX,Intel B760,192,DDR5,4,White,3,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek Dragon RTL8125BG),Depends on CPU,1,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 22:58,11/25/2024 22:58
204,325,LGA1700,MATX,Intel B760,192,DDR5,4,Black / Blue,1,0,0,1,0,4,2,1 x 2.5 Gb/s (Realtek RTL8125BG),Depends on CPU,1,0,1,1,0,None,0,0,11/25/2024 22:58,11/25/2024 22:58
205,326,LGA1700,ATX,Intel Z790,192,DDR5,4,Silver / Black,2,0,0,2,0,8,4,1 x 2.5 Gb/s (Realtek RTL8125BG),Depends on CPU,2,0,2,2,1,Wi-Fi 6E,0,0,11/25/2024 22:58,11/25/2024 22:58
206,327,LGA1700,MATX,Intel B760,192,DDR5,4,Silver / Black,1,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek RTL8125BG),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 22:58,11/25/2024 22:58
207,328,LGA1700,ATX,Intel B760,128,DDR4,4,Silver / Black,3,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek RTL8125BG),Depends on CPU,1,0,1,1,0,None,0,0,11/25/2024 22:58,11/25/2024 22:58
208,329,LGA1700,ATX,Intel Z790,256,DDR5,4,Silver / Black,2,0,0,2,0,6,3,1 x 2.5 Gb/s (Killer E3100G),Depends on CPU,2,0,2,2,0,Wi-Fi 6E,0,0,11/25/2024 22:58,11/25/2024 22:58
209,330,LGA1700,MATX,Intel B760,96,DDR5,2,White / Black,1,0,0,2,0,4,2,1 x 2.5 Gb/s (Realtek RTL8125BG),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 22:58,11/25/2024 22:58
210,331,LGA1700,MATX,Intel H610,64,DDR4,2,Gray / Black,1,0,0,1,0,4,0,1 x 1 Gb/s (Realtek 8111H),Depends on CPU,1,0,1,1,0,None,0,0,11/25/2024 22:58,11/25/2024 22:58
211,332,LGA1700,ATX,Intel Z790,192,DDR5,4,Silver / Black,2,0,0,2,0,8,4,1 x 2.5 Gb/s (Realtek RTL8125BG),Depends on CPU,2,0,2,2,1,None,0,0,11/25/2024 22:58,11/25/2024 22:58
